Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Niedersachsen;Hochschule Hannover;Hannover;Hochschule;öffentlich-rechtlich;ja;https://www.hs-hannover.de/ueber-uns/organisation/bibliothek/services/publizieren-an-der-hsh/;nein;NA;NA;NA;ja;https://www.hs-hannover.de/ueber-uns/organisation/bibliothek/services/publizieren-an-der-hsh/;open-access[at]hs-hannover[?dot]de;ja;2019;https://www.hs-hannover.de/ueber-uns/organisation/bibliothek/services/publizieren-an-der-hsh/;nein;NA;NA;nein;NA;NA;ja;https://www.hs-hannover.de/ueber-uns/organisation/bibliothek/services/publizieren-an-der-hsh/;nein;NA;ja;https://www.repo.uni-hannover.de/;NA;nein;NA;ja;https://openjournals.hs-hannover.de/index;nein;NA;NA;ja;2015-03-09T00:00:00Z;nein;nein;nein;LM;2022-10-02T22:00:00Z;Hochschule Hannover;NA;https://ror.org/03m2kj587;grid.461671.3;Q224514;https://www.hs-hannover.de/
Thüringen;Bauhaus-Universität Weimar;Weimar;Universität;öffentlich-rechtlich;ja;https://www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/;ja;Dana Horch;https://www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/;NA;ja;https://www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/;openaccess[at]ub[?dot]uni-weimar[?dot]de;ja;2016;https://www.uni-weimar.de/fileadmin/user/uni/zentrale_einrichtungen/ub_bibliothek/files/pdf/Open_Access_Policy_final_Dezember_2016-1.pdf;nein;NA;NA;nein;NA;NA;ja;https://uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/publikationsfonds/;ja;https://www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/;ja;https://e-pub.uni-weimar.de/opus4/home;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-10-31T23:00:00Z;Bauhaus-Universität Weimar;Bauhaus University, Weimar;https://ror.org/033bb5z47;grid.41315.32;Q573975;https://www.uni-weimar.de
Nordrhein-Westfalen;Technische Hochschule Köln;Köln;Hochschule;öffentlich-rechtlich;ja;https://www.th-koeln.de/hochschulbibliothek/open-access-an-der-th-koeln_60612.php;nein;NA;NA;NA;ja;https://www.th-koeln.de/personen/kerstin.klein1/;publikationsservice[at]th-koeln[dot]de;ja;2013;https://www.th-koeln.de/mam/downloads/deutsch/forschung/thk_open_access_erklarung.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;"http://epb.bibl.th-koeln.de; https://cos.bibl.th-koeln.de";NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-03-19T23:00:00Z;Technische Hochschule Köln;NA;https://ror.org/014nnvj65;grid.434092.8;Q54166;https://www.th-koeln.de/
Rheinland-Pfalz;Universität Trier;Trier;Universität;öffentlich-rechtlich;ja;https://www.uni-trier.de/index.php?id=60801;ja;Dr. Evgenia Grishina;NA;https://oa2020-de.org/pages/uebersichtoabeauftragte/;ja;https://www.uni-trier.de/index.php?id=60801;openaccess[at]uni-trier[?dot]de;ja;2016;https://www.uni-trier.de/fileadmin/forschung/forschung/Downloads/OPEN_ACCESS_POLICY_2016.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.uni-trier.de/index.php?id=60802;nein;NA;andere;NA;https://ubt.opus.hbz-nrw.de;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-02-19T23:00:00Z;Universität Trier;University of Trier;https://ror.org/02778hg05;grid.12391.38;Q702486;https://www.uni-trier.de
Brandenburg;Universität Potsdam;Potsdam;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren;nein;NA;NA;NA;ja;https://www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren/beratung;jhagedoorn[at]uni-potsdam[?dot]de;ja;2006;https://www.ub.uni-potsdam.de/de/publizieren/open-access/senatsresolution;nein;NA;NA;nein;NA;NA;ja;https://ub.uni-potsdam.de/de/publizieren/open-access-publizieren/finanzielle-foerderung/publikationsfonds;nein;NA;ja;https://publishup.uni-potsdam.de/home/index/help/content/edoc_start;NA;ja;https://www.ub.uni-potsdam.de/de/publizieren/universitaetsverlag;nein;NA;nein;NA;NA;ja;2015-12-21T00:00:00Z;ja;nein;nein;LM;2022-04-22T00:00:00Z;Universität Potsdam;University of Potsdam;https://ror.org/03bnmw459;grid.11348.3f;Q153012;https://www.uni-potsdam.de
Schleswig-Holstein;Hochschule Flensburg;Flensburg;Hochschule;öffentlich-rechtlich;ja;https://www.zhb-flensburg.de/suchen-finden/open-access#c115424;ja;Andreas Ruß;https://www.zhb-flensburg.de/suchen-finden/open-access;NA;ja;https://www.zhb-flensburg.de/suchen-finden/open-access#c115424;oa[at]zhb-flensburg[?dot]de;ja;2017;https://hs-flensburg.de/forschung/fue/openaccess;nein;NA;NA;nein;NA;NA;ja;https://www.zhb-flensburg.de/suchen-finden/open-access#c115428;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-01-18T23:00:00Z;Hochschule Flensburg;NA;https://ror.org/01xpfrc74;grid.454232.6;Q328274;https://www.hs-flensburg.de/
Schleswig-Holstein;Europa-Universität Flensburg;Flensburg;Universität;öffentlich-rechtlich;ja;https://www.uni-flensburg.de/forschung/euf-policies/open-access;ja;Andreas Ruß;https://www.zhb-flensburg.de/suchen-finden/open-access;NA;ja;https://www.uni-flensburg.de/forschung/forschungsfoerderung/forschungsfoerderung-der-europa-universitaet-flensburg;ombudsstelle[at]uni-flensburg[dot]de;ja;2017;https://www.uni-flensburg.de/fileadmin/content/portale/forschung/dokumente/foref/foref-sonstige-dateien/2017-12-18-openaccess-policy.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.zhb-flensburg.de/suchen-finden/open-access;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;ja;2014-06-30T00:00:00Z;nein;nein;nein;LM;2021-04-06T22:00:00Z;Europa-Universität Flensburg;University of Flensburg;https://ror.org/046e0mt33;grid.449681.6;Q506436;https://www.uni-flensburg.de
Rheinland-Pfalz;Johannes Gutenberg-Universität Mainz;Mainz;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-mainz.de/de/open-access;ja;Karin Eckert;NA;https://oa2020-de.org/pages/uebersichtoabeauftragte/;ja;https://www.ub.uni-mainz.de/de/open-access;publikationssysteme[at]ub[?dot]uni-mainz[?dot]de;ja;2012;https://www.ub.uni-mainz.de/de/open-access/open-access-policy-jgu;nein;NA;NA;nein;NA;NA;ja;https://ub.uni-mainz.de/de/open-access/foerderkriterien-open-access;ja;https://www.ub.uni-mainz.de/de/open-access/foerderkriterien-open-access;ja;https://openscience.ub.uni-mainz.de/;NA;nein;NA;ja;https://www.ub.uni-mainz.de/de/open-access/herausgabe-einer-eigenen-open-access-zeitschrift;nein;NA;NA;ja;2013-01-25T00:00:00Z;ja;nein;nein;LM;2022-02-19T23:00:00Z;Johannes Gutenberg-Universität Mainz;Johannes Gutenberg University of Mainz;https://ror.org/023b0x485;grid.5802.f;Q161982;https://www.uni-mainz.de
Schleswig-Holstein;Universitätsklinikum Schleswig-Holstein (UKSH);Kiel;Universität;öffentlich-rechtlich;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;nein;NA;NA;NA;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;zhb[?dot]openaccess[at]uni-luebeck[?dot]de;ja;2015;https://www.zhb.uni-luebeck.de/fileadmin/files/dokumente/Policy/Open_Access_Policy_Luebeck.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;nein;NA;andere;NA;http://www.dissonline.de/;nein;NA;nein;NA;nein;NA;NA;ja;2015-12-03T00:00:00Z;nein;nein;nein;LM;2022-01-18T22:00:00Z;NA;University Hospital Schleswig-Holstein;https://ror.org/01tvm6f46;grid.412468.d;Q2496401;https://www.uk-sh.de
Schleswig-Holstein;Universität zu Lübeck;Lübeck;Universität;öffentlich-rechtlich;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;nein;NA;NA;NA;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;zhb[?dot]openaccess[at]uni-luebeck[?dot]de;ja;2015;https://www.zhb.uni-luebeck.de/fileadmin/files/dokumente/Policy/Open_Access_Policy_Luebeck.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.zhb.uni-luebeck.de/lernen-publizieren/publizieren/open-access/;nein;NA;andere;NA;http://www.dissonline.de/;nein;NA;nein;NA;nein;NA;NA;ja;2015-12-03T00:00:00Z;nein;nein;nein;LM;2022-01-17T23:00:00Z;Universität zu Lübeck;University of Lübeck;https://ror.org/00t3r8h32;grid.4562.5;Q317087;https://www.uni-luebeck.de
Rheinland-Pfalz;Technische Universität Kaiserslautern;Kaiserslautern;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-kl.de/schreiben-publizieren/open-access/;ja;Dipl.-Kult. Julia Heitmann-Pletsch;https://www.ub.uni-kl.de/schreiben-publizieren/open-access/;NA;ja;https://www.ub.uni-kl.de/schreiben-publizieren/open-access/;openaccess[at]ub[?dot]uni-kl[?dot]de;ja;2016;https://www.ub.uni-kl.de/fileadmin/ub/pdf/Open_Access/TU_KL_Open-Access-Policy.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.ub.uni-kl.de/schreiben-publizieren/open-access/foerderung/finanzierung-von-oa-publikationen#c12181;nein;NA;ja;https://kluedo.ub.uni-kl.de/home;NA;nein;NA;nein;NA;nein;NA;NA;ja;2016-03-03T00:00:00Z;nein;nein;nein;LM;2022-02-19T23:00:00Z;Technische Universität Kaiserslautern;University of Kaiserslautern;https://ror.org/04zrf7b53;grid.7645.0;Q678965;https://www.uni-kl.de/startseite/
Niedersachsen;Universität Vechta;Vechta;Universität;öffentlich-rechtlich;ja;https://bibliothek.uni-vechta.de/schreiben-publizieren/open-access-oa-publizieren/;ja;Stephanie Hinrichs;NA;https://oa2020-de.org/pages/uebersichtoabeauftragte/;ja;https://bibliothek.uni-vechta.de/schreiben-publizieren/open-access-oa-publizieren/;publikationsdienste[?dot]ub[at]uni-vechta[?dot]de;ja;2016;https://voado.uni-vechta.de/page/Open_Access-Erklaerung;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;http://voado.uni-vechta.de/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-07-02T22:00:00Z;Universität Vechta;University of Vechta;https://ror.org/045y6d111;grid.449789.f;Q2496174;https://www.uni-vechta.de
Niedersachsen;Gottfried Wilhelm Leibniz Universität Hannover;Hannover;Universität;öffentlich-rechtlich;ja;https://www.uni-hannover.de/de/universitaet/profil/ziele-strategien/open-access/;nein;NA;NA;NA;ja;https://www.tib.eu/de/publizieren-archivieren/open-access/beratung-und-information;stefan[?dot]schmeja[at]tib[?dot]eu;ja;2011;https://www.uni-hannover.de/de/universitaet/profil/ziele-strategien/open-access/open-access-resolution/;nein;NA;NA;nein;NA;NA;ja;https://www.tib.eu/de/publizieren-archivieren/open-access/open-access-finanzieren/publikationsfonds-leibniz-universitaet;nein;NA;ja;https://www.repo.uni-hannover.de/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-03-15T23:00:00Z;Gottfried Wilhelm Leibniz Universität Hannover;Leibniz University Hannover;https://ror.org/0304hq317;grid.9122.8;Q678982;https://www.uni-hannover.de
Saarland;Universität des Saarlandes;Saarbrücken;Universität;öffentlich-rechtlich;ja;https://www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes;nein;NA;NA;NA;ja;https://www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes;open-access[at]sulb[dot]uni-saarland[dot]de;ja;2012;https://www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes/open-access-resolution-der-universitaet-des-saarlandes;nein;NA;NA;nein;NA;NA;ja;https://www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes/open-access-publikationsfonds-der-universitaet-des-saarlandes;nein;NA;ja;https://publikationen.sulb.uni-saarland.de/;NA;ja;https://www.uni-saarland.de/forschen/universaar.html;nein;NA;nein;NA;NA;ja;2012-03-22T00:00:00Z;nein;nein;ja;LM;2022-06-01T22:00:00Z;Universität des Saarlandes;Saarland University;https://ror.org/01jdpyv68;grid.11749.3a;Q700758;https://www.uni-saarland.de
Bayern;Hochschule für angewandte Wissenschaften München;München;Hochschule;öffentlich-rechtlich;ja;https://www.bib.hm.edu/publizieren_und_oa/uebersicht_publizieren_und_oa/index.de.html;ja;"Dr. Rainer Nehrlich; Alessa Wilhelm";https://w3-mediapool.hm.edu/mediapool/media/dachmarke/dm_lokal/foschung_entwicklung/pdf_oa/OA_Policy_HM.pdf;NA;ja;https://www.hm.edu/allgemein/forschung_entwicklung/publikationsfonds/open_access_publikationsfond.de.html;forschung[at]hm[?dot]edu;ja;2020;https://www.hm.edu/allgemein/forschung_entwicklung/publikationsfonds/policy_und_massnahmen.de.html;nein;NA;NA;nein;NA;NA;ja;https://www.hm.edu/allgemein/forschung_entwicklung/publikationsfonds/open_access_publikationsfond.de.html;nein;NA;ja;https://www.bib.hm.edu/recherche/hmdigital/index.de.html;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17T00:00:00Z;Hochschule für angewandte Wissenschaften München;NA;https://ror.org/012k1v959;grid.434949.7;Q314089;https://www.hm.edu/
Nordrhein-Westfalen;Fachhochschule Südwestfalen;Iserlohn;Hochschule;öffentlich-rechtlich;ja;https://www.fh-swf.de/de/studierende/rund_ums_studium/bibliothek_1/publikationsdienstleistungen/publikationsdienstleistungen.php;nein;NA;NA;NA;nein;NA;publikationen[at]fh-swf[dot]de;ja;2021;https://www.fh-swf.de/media/neu_np/bibl/infos/services_1/2021.02.24_-_Open-Access-Policy.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.fh-swf.de/de/studierende/rund_ums_studium/bibliothek_1/publikationsdienstleistungen/publikationsdienstleistungen.php;nein;NA;ja;https://www.fh-swf.de/de/studierende/rund_ums_studium/bibliothek_1/publikationsdienstleistungen/publikationsdienstleistungen.php?accordion=publikationsserver#publikationsserver-anchor;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-02-24T23:00:00Z;Fachhochschule Südwestfalen;NA;https://ror.org/04t5phd24;grid.454254.6;Q1259168;https://www.fh-swf.de/de/home/
Hamburg;Technische Universität Hamburg;Hamburg;Universität;öffentlich-rechtlich;ja;https://www.tub.tuhh.de/publizieren/openaccess/;ja;Beate Rajski;https://www.tub.tuhh.de/publizieren/openaccess/;NA;ja;https://www.tub.tuhh.de/publizieren/openaccess/;openaccess[at]tuhh[?dot]de;ja;2018;https://www.tub.tuhh.de/publizieren/openaccess/open-access-at-tuhh/;nein;NA;NA;nein;NA;NA;ja;https://www.tub.tuhh.de/publizieren/openaccess/open-access-fonds/;nein;NA;ja;https://tore.tuhh.de/;NA;nein;NA;nein;NA;ja;"sichtbarer Beitrag zu offener Wissenschaft (Entwicklung von Forschungsfragen /  Datenerhebung /  Analyse /  Schreibprozess  / Reviewverfahren / die Archivierung und Nachnutzung von Forschungsdaten / Vermittlung); nicht älter als 5 Jahre";https://openscience.hamburg.de/de/hamburg-open-science-award-2020/;ja;2016-10-26T00:00:00Z;nein;nein;nein;LM;2022-04-22T00:00:00Z;Technische Universität Hamburg;Hamburg University of Technology;https://ror.org/04bs1pb34;grid.6884.2;Q1060;https://www.tuhh.de
Rheinland-Pfalz;Hochschule Kaiserslautern;Kaiserslautern;Hochschule;öffentlich-rechtlich;ja;https://www.hs-kl.de/hochschule/servicestellen/bibliothek/open-access;nein;NA;NA;NA;ja;https://www.hs-kl.de/hochschule/servicestellen/bibliothek/open-access;open-access[at]hs-kl[dot]de;ja;2021;https://www.hs-kl.de/fileadmin/hochschule/servicestellen/bibliothek/downloadbereich/OA_Policy_HS_Kaiserslautern.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;andere;NA;https://kluedo.ub.uni-kl.de/home;nein;NA;nein;NA;nein;NA;NA;ja;2022-02-01T00:00:00Z;nein;nein;nein;LM;2022-02-19T23:00:00Z;Hochschule Kaiserslautern;NA;https://ror.org/05dkqa017;grid.42283.3f;Q1391198;https://www.hs-kl.de/
Niedersachsen;Stiftung Universität Hildesheim;Hildesheim;Universität;öffentlich-rechtlich;ja;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/open-access/;nein;NA;NA;NA;ja;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/open-access/;"mario[dot]mueller[at]uni-hildesheim[dot]de; uvredakt[at]uni-hildesheim[?dot]de";ja;2016;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/open-access/leitlinien-der-stiftung-universitaet-hildesheim/;nein;NA;NA;nein;NA;NA;ja;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/open-access/publikationsfonds-der-universitaet-hildesheim/;nein;NA;ja;https://hildok.bsz-bw.de/home;NA;ja;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/publizieren/universitaetsverlag/;ja;https://www.uni-hildesheim.de/bibliothek/forschen-publizieren/publizieren/universitaetsverlag/publizieren/oa-journals/;nein;NA;NA;ja;2016-10-27T00:00:00Z;nein;nein;nein;LM;2022-10-02T22:00:00Z;Stiftung Universität Hildesheim;University of Hildesheim;https://ror.org/02f9det96;grid.9463.8;Q319333;https://www.uni-hildesheim.de
Sachsen;Hochschule für Technik und Wirtschaft Dresden (HTW);Dresden;Hochschule;öffentlich-rechtlich;ja;https://www.htw-dresden.de/oa;nein;NA;NA;NA;ja;https://www.htw-dresden.de/oa;oa[at]htw-dresden[dot]de;ja;2018;https://www.htw-dresden.de/fileadmin/HTW/Zentrale_Dokumente/Externe_Dokumente/Ordnungen/OA-Erklaerung.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.htw-dresden.de/forschung/oa-antrag;nein;NA;andere;NA;http://htw-dresden.qucosa.de/;nein;NA;nein;NA;nein;NA;NA;ja;2018-05-29T00:00:00Z;nein;nein;nein;LM;2022-01-18T23:00:00Z;NA;NA;https://ror.org/05q5pk319;grid.434947.9;Q1622222;https://www.htw-dresden.de/startseite.html
Hamburg;Universität Hamburg;Hamburg;Universität;öffentlich-rechtlich;ja;https://www.oa.uni-hamburg.de/openaccess.html;ja;Dr. Stefan Thiemann;https://www.oa.uni-hamburg.de/openaccess/ueber-uns.html;NA;ja;https://www.oa.uni-hamburg.de/openaccess/ueber-uns.html;openaccess[at]uni-hamburg[?dot]de;ja;2016;https://www.oa.uni-hamburg.de/openaccess/oa-policy.html;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;"https://www.dokserv.gwiss.uni-hamburg.de/content/index.xml; https://www.fdm.uni-hamburg.de/fis.html";NA;nein;NA;ja;https://www.sub.uni-hamburg.de/service/der-zeitschriftenserver-der-stabi.html;ja;"sichtbarer Beitrag zu offener Wissenschaft (Entwicklung von Forschungsfragen /  Datenerhebung /  Analyse /  Schreibprozess  / Reviewverfahren / die Archivierung und Nachnutzung von Forschungsdaten / Vermittlung); nicht älter als 5 Jahre";https://openscience.hamburg.de/de/hamburg-open-science-award-2020/;ja;2016-02-29T00:00:00Z;nein;nein;nein;LM;2022-04-22T00:00:00Z;Universität Hamburg;Universität Hamburg;https://ror.org/00g30e956;grid.9026.d;Q156725;https://www.uni-hamburg.de/
Nordrhein-Westfalen;Universität Siegen;Siegen;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-siegen.de/benutzung-und-service/open-access-publizieren/;ja;Nicole Walger;NA;https://oa2020-de.org/pages/uebersichtoabeauftragte/;ja;https://www.ub.uni-siegen.de/open-access-services-der-universitaetsbibliothek/;oa[at]ub[?dot]uni-siegen[?dot]de;ja;2017;https://www.ub.uni-siegen.de/fileadmin/user_upload/pdf/OPUS/open-access-policy_der_universitaet_siegen.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.ub.uni-siegen.de/finanzierungsmoeglichkeiten/;ja;https://www.ub.uni-siegen.de/finanzierungsmoeglichkeiten/;"ja; andere";https://dspace.ub.uni-siegen.de/;https://noah.nrw/;ja;https://www.universi.uni-siegen.de/;ja;https://www.ub.uni-siegen.de/open-access-services-der-universitaetsbibliothek/;nein;NA;NA;ja;2017-03-08T00:00:00Z;nein;nein;nein;LM;2022-02-20T23:00:00Z;Universität Siegen;University of Siegen;https://ror.org/02azyry73;grid.5836.8;Q504723;https://www.uni-siegen.de/start/
Nordrhein-Westfalen;Heinrich-Heine-Universität Düsseldorf;Düsseldorf;Universität;öffentlich-rechtlich;ja;https://www.openaccess.hhu.de/;ja;"Prof. Dr. Ulrich Noack; Prof. Dr. Martin Lercher; Dr. Tobias Winnerling; Prof. Dr. Christian Wey";https://www.ulb.hhu.de/forschen-lehren-publizieren/open-access/beratung;NA;ja;https://www.ulb.hhu.de/forschen-lehren-publizieren/open-access/beratung;Thorsten[?dot]Lemanski[at]ulb[?dot]hhu[?dot]de;ja;2011;https://www.openaccess.hhu.de/hhu-resolution.html;nein;NA;NA;nein;NA;NA;ja;https://www.ulb.hhu.de/forschen-lehren-publizieren/open-access/open-access-fonds-der-hhu;ja;https://www.ulb.hhu.de/forschen-lehren-publizieren/open-access/open-access-fonds-der-hhu;ja;https://docserv.uni-duesseldorf.de/;NA;nein;NA;nein;NA;nein;NA;NA;ja;2011-01-05T00:00:00Z;nein;nein;nein;LM;2022-03-19T23:00:00Z;Heinrich-Heine-Universität Düsseldorf;Heinrich Heine University Düsseldorf;https://ror.org/024z2rq82;grid.411327.2;Q317032;https://www.uni-duesseldorf.de/home/startseite.html
Nordrhein-Westfalen;Rheinisch-Westfälische Technische Hochschule Aachen;Aachen;Universität;öffentlich-rechtlich;ja;https://www.ub.rwth-aachen.de/go/id/iigq;nein;NA;NA;NA;ja;https://www.ub.rwth-aachen.de/go/id/iigq;"arnold[at]ub[?dot]rwth-aachen[?dot]de; mescherowsky[at]ub[?dot]rwth-aachen[?dot]de";ja;2016;https://www.rwth-aachen.de/cms/root/Die-RWTH/Profil/~lkcc/Open-Access-Policy-der-RWTH-Aachen/;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;https://publications.rwth-aachen.de/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-02-24T23:00:00Z;Rheinisch-Westfälische Technische Hochschule Aachen;RWTH Aachen University;https://ror.org/04xfq0f34;grid.1957.a;Q273263;https://www.rwth-aachen.de/go/id/a/?
Bayern;Hochschule für Musik und Theater München;München;Hochschule;öffentlich-rechtlich;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;andere;NA;http://digital.bib-bvb.de/collections/HMTM/#/;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;Hochschule für Musik und Theater München;NA;https://ror.org/02m7p2c22;grid.466257.4;Q657167;https://www.website.musikhochschule-muenchen.de/de/
Brandenburg;Theologische Hochschule Elstal;Wustermark;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;NA;NA;Q1623675;https://www.th-elstal.de/index.php?id=1&schrift=100
Hamburg;Ev. Hochschule für Soziale Arbeit & Diakonie;Hamburg;Hochschule;kirchlich, staatlich anerkannt;nein ;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;https://ror.org/04wb1en98;grid.466314.2;Q1380223;https://www.ev-hochschule-hh.de/
Hessen;Freie Theologische Hochschule Gießen (FTH);Gießen;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;https://ror.org/03kzgcv48;grid.465905.b;Q1454033;https://www.fthgiessen.de/
Hessen;Evangelische Hochschule Darmstadt (EHD);Darmstadt;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;https://ror.org/04w23p232;grid.466073.0;Q1380207;https://www.eh-darmstadt.de
Hessen;Evangelische Hochschule Tabor Marburg;Marburg;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;andere;NA;https://kidoks.bsz-bw.de/home;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;NA;NA;Q1380215;https://www.eh-tabor.de/de
Hessen;Theologische Hochschule Ewersbach;Dietzhölztal;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;NA;NA;Q2418963;https://www.th-ewersbach.de
Brandenburg;Fachhochschule Clara Hoffbauer Potsdam;Potsdam;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;2022-04-17TT00:00:00Z;NA;NA;NA;NA;Q61943383;https://www.fhchp.de/
